Name of Building,Address,Year of Completion,Property_Type,Location
"      Block 1-7
      ?1?7?",(See Appendix II),,,New Territories
Broadwater,"68 Sheung Sze Wan,
Clear Water Bay",-,,New Territories
Brook Villa,"291 Castle Peak Rd. Ting Kau,
Tsuen Wan",-,,New Territories
"Buddhist Bright Pearl Primary School
      ??????","1 Shing Tin St.,
Chun Shek Estate, Sha Tin",-,,New Territories
"Buddhist Chan Wing Kan
      Memorial School
      ?????????","23 Lam Hau Tsuen Rd.,
Yuen Long",-,,New Territories
"Buddhist Chi Hong Chi Lam
      Memorial College
      ??????????","4 Chui Yi St.,
Tai Po",-,,New Territories
"Buddhist Fat Ho Memorial College
      ????????","DD 313 Lot 738, Tai O,
Lantau Island",-,,New Territories
"Buddhist Kok Kwong
      Secondary School
      ????????","5 Sha Kok St.,
Sha Kok Estate,
Sha Tin",-,,New Territories
"Buddhist Kok Kwong
      Secondary School (Extension)
      ????????(????)","5 Sha Kok St.,
Sha Kok Estate,
Sha Tin",-,,New Territories
"Buddhist Lam Bing Yim
      Memorial School
      ?????????","33 Tai Ha St.,
Kwai Chung",-,,New Territories
"Buddhist Lim Kim Tiam
      Memorial Primary School
      ?????????","177 Hing Fong Rd.,
Kwai Fong Estate,
Kwai Chung",-,,New Territories
"Buddhist Mau Fung Memorial College
      ??????????","18 Tin Pak Rd.,
Tin Shui Wai",-,,New Territories
"Buddhist Po Ching Care & Attention
      Home for the Aged Women
      ?????????","10 Chi Fuk Circuit,
Fanling",1977,,New Territories
"Buddhist Po Ching Home for
      the Aged Women
      ???????","8 Chi Fuk Circuit,
Fanling",1998,,New Territories
"Buddhist Poh Yea Home for The Aged
      ???????","297 Pai Tau Tsuen,
Sha Tin",-,,New Territories
"Buddhist Sin Tak College
      ????????","5 Hing Shing Rd.,
Kwai Chung",-,,New Territories
"Buddhist Sum Heung Lam
      Memorial College
      ?????????","3 Leung Choi Lane,
Tai Hing Estate,
Tuen Mun",-,,New Territories
"Buddhist Tai Kwong Middle School
      ??????","178 Kam Shan,
Tai Po",-,,New Territories
"Buddhist To Chi Fat She
      Yeung Yat Lam Memorial School
      ???????????","6 Tin Pak Rd.,
Tin Shui Wai",-,,New Territories
"Buddhist Wai Yan Memorial College
      ??????????","25 Tai Hing Tai Rd.,
Cheung Chau",-,,New Territories
"Buddhist Wong Sewai
      Memorial School
      ?????????","4 Wu Cheong St.,
Wu King Estate, Tuen Mun",-,,New Territories
"Buddhist Wong Wan Tin College
      ???????","30 Mei Tin Rd.,
Mei Lam Estate,
Tai Wai, Sha Tin",-,,New Territories
"Buddhist Yip Kei Nam
      Memorial College
      ?????????","Cheung Ching Estate,
Tsing Yi",-,,New Territories
"Buena Vista
      *????","7 Pik Sha Rd.,
Sai Kung",1978,,New Territories
"Bui O Public School
      ??????","2 Lo Uk Tsuen,
Pui O, Lantau Island",-,,New Territories
"Bun Hing Yuen
      ???","DD 110 Lot 803 &
C.L.L. No. Y22101,
Off Kam Tin Rd.,
Shek Kong",-,,New Territories
"Bun Luen Building
      ???","Ground Floor:
94 San Fung Avenue,
Shek Wu Hui, Sheung Shui
Upper Floors:
94A San Fung Avenue",1979,,New Territories
"Burlingame Garden
      *?????","6A Chuk Yeung Rd.,
Sai Kung",1996,,New Territories
"Burn Side
      ??","30 San Shek Wan,
Lantau Island",-,,New Territories
"Business Aviation Centre
      ??????","12 South Perimeter Rd.,
Chek Lap Kok",2007,,New Territories
"Butterfly Bay Community Centre
      ???????","1 Wu Chui Rd.,
Butterfly Estate, Tuen Mun",-,,New Territories
"Butterfly Crest
      *??","11 Cheung Fu St.,
Cheung Sha, Lantau Island",1983,,New Territories
"Butterfly Estate
      ???","1 Wu Chui Rd., Tuen Mun
(See Appendix I)",,,New Territories
"      Butterfly Plaza
      ????",(See Appendix I),,,New Territories
"      Tip Chui House
      ???",(See Appendix I),,,New Territories
"      Tip Ling House
      ???",(See Appendix I),,,New Territories
"      Tip Mo House
      ???",(See Appendix I),,,New Territories
"      Tip Sum House
      ???",(See Appendix I),,,New Territories
"      Tip Yee House
      ???",(See Appendix I),,,New Territories
"      Tip Ying House
      ???",(See Appendix I),,,New Territories
"C & C Building
      ????????","36 Ting Lai Rd., Tai Po",1991,,New Territories
"C. & M. A. Chui Chak Lam
      Memorial School
      ?????????????","68 Kin Tak St.,
Yuen Long",-,,New Territories
"C.C.C. Cheung Chau Church
      Kam Kong Kindergarten
      ??????????????","14  School Rd.,
Cheung Chau",-,,New Territories
"C.C.C. Chuen Yuen First
      Primary School
      ????????????","6/8 Tai Uk St.,
Tsuen Wan",-,,New Territories
"C.C.C. Chuen Yuen Secondary
      Primary School
      ????????????","3 Sheung Kok St.,
Kwai Chung",-,,New Territories
"C.C.C. Chun Kwong Primary School
      ????????????","5 Chung Sing Path,
Yuen Long",-,,New Territories
"C.C.C. Fung Leung Kit
      Memorial Secondary School
      ?????????????","22 Plover Cove Rd.,
Tai Po",-,,New Territories
"C.C.C. Hoh Fuk Tong Primary School
      ???????????","41 Lung Mun Rd.,
Tuen Mun",-,,New Territories
"C.C.C. Kei Ching Primary School
      ??????????","12 On Po Rd.,
Fu Shin Estate, Tai Po",-,,New Territories
"C.C.C. Kei Leung Primary School
      ??????
      (????)????","31 Tin King Rd.,
Leung King Estate,
Tuen Mun",-,,New Territories
"C.C.C. Kei San Secondary School
      ??????????","8 Wu Tip Shan Rd.,
Fanling",-,,New Territories
"C.C.C. Kei Wai Primary School
      ??????????","167/185 Tsuen King Circuit,
Tsuen Wan",-,,New Territories
"C.C.C. Kei Wai Primary School
      (Ma Wan)
      ?????????? (??)","12 Pak Lam Rd.,
Ma Wan",-,,New Territories
"C.C.C. Sheung Shui Church
      Kindergarten
      ????????????","23 Jockey Club Rd.,
Sheung Shui",-,,New Territories
"C.C.C. Tam Lee Lai Fun Memorial
      Secondary School
      ??????????????","10 San Wo Lane,
Tuen Mun",-,,New Territories
"C.K.K. Industrial Building
      ???????","1 On Lok Mun St.,
Fanling",1996,,New Territories
"Cable TV Tower
      ??????","9 Hoi Shing Rd.,
Tsuen Wan",1992,,New Territories
"Café De Coral Central Processing
      Plant 1
      ???????1?","19 Dai Fu St.,
Tai Po Industrial Estate,
Tai Po",2012,,New Territories
"Café De Coral Centre
      ?????","5/13 Wo Shui St.,
Fo Tan Sha Tin",1979,,New Territories
"Cambridge Plaza
      ????","188 San Wan Rd.,
Sheung Shui",1991,,New Territories
"Camellia Court
      *???","3 Yu Tai Rd.,
Fanling",1994,,New Territories
"Cameo Court
      ???","23 Ting Lai Rd.,
Tai Po",1991,,New Territories
"Campbell Building
      *????","9 Kik Yeung Rd.,
Yuen Long",1976,,New Territories
"Capital Garden
      *????","DD 223 Lot 253 Off Clear
Water Bay Rd., Ta Ku Ling",1980,,New Territories
"Capital Villa
      *????","DD 223 Lot 252 Off Clear
Water Bay Rd., Ta Ku Ling",1980,,New Territories
Capri,"33 Tong Yin St.,
Tseung Kwan O, Sai Kung",2017,,New Territories
"Carado Garden
      *????","Sha Tin
(See Appendix IV)",1989,,New Territories
"      Block 1
      ?1?","20 Tin Sam St.
(See Appendix IV)",,,New Territories
"      Block 2
      ?2?","22 Tin Sam St.
(See Appendix IV)",,,New Territories
"      Block 3
      ?3?","24 Tin Sam St.
(See Appendix IV)",,,New Territories
"      Block 4
      ?4?","26 Tin Sam St.
(See Appendix IV)",,,New Territories
"      Block 5
      ?5?","28 Tin Sam St.
(See Appendix IV)",,,New Territories
"      Block 6
      ?6?","30 Tin Sam St.
(See Appendix IV)",,,New Territories
"Cardinal Industrial Building
      ??????","17 On Lok Mun St.,
Fanling",1990,,New Territories
"Caribbean Coast
      ???","Tung Chung, Lantau Island",,,New Territories
"      Albany Cove
      ???",1 Kin Tung Rd.,2004,,New Territories
"            Towers 6-8
            6-8?",,,,New Territories
