Name of Building,Address,Year of Completion,Property_Type,Location
"Bayview
      ???",9 Yuk Yat St.,2012,,
"Bayview Court
      *???",49 Mount Davis Rd.,1977,,
"Bayview Mansion
      *????",54 MacDonnell Rd.,1960,,
"Bayview Park
      ???",3 Hong Man St.,1999,,
"BCC Building
      *??????????",25/31 Carnarvon Rd.,1976,,
"Beach Mansion
      ????","9A, 9B, 11A & 11B
Stanley Beach Rd.",1965,,
"Beach Pointe
      ???",16 Stanley Beach Rd.,1988,,
"Beacon Heights
      *?????",,,,
"      Phase 1 
      ?1?",,1985,,
"            Block 1
            ?1?",1 Lung Ping Rd.,,,
"            Block 3
            ?3?",3 Lung Ping Rd.,,,
"            Block 5
            ?5?",5 Lung Ping Rd.,,,
"            Block 7
            ?7?",7 Lung Ping Rd.,,,
"      Phase 2 
      ?2?",,1986,,
"            Block 15
            ?15?",15 Lung Ping Rd.,,,
"            Block 17
            ?17?",17 Lung Ping Rd.,,,
"            Block 19
            ?19?",19 Lung Ping Rd.,,,
"      Phase 3 
      ?3?",,1987,,
"            Block 10
            ?10?",10 Lung Ping Rd.,,,
"            Block 12
            ?12?",12 Lung Ping Rd.,,,
"            Block 14
            ?14?",14 Lung Ping Rd.,,,
"            Block 8
            ?8?",8 Lung Ping Rd.,,,
"      Phase 4 
      ?4?",,1987,,
"            Block 2
            ?2?",2 Lung Ping Rd.,,,
"            Block 4
            ?4?",4 Lung Ping Rd.,,,
"            Block 6
            ?6?",6 Lung Ping Rd.,,,
"      Shopping Centre 
      ??",9/13 Lung Ping Rd.,1986,,
"Beacon Hill Court
      *???",55 Beacon Hill Rd.,1965,,
"Beacon Hill School
      ?????",23 Ede Rd.,1968,,
"Beacon Lodge
      ???","LG/F & UG/F:
338 Shun Ning Rd.
Upper Floors:
373 Po On Rd.",2008,,
"Beaconsfield Court
      *???",7 Shouson Hill Rd.,1974,,
"Beau Cloud Mansion
      ???",64 MacDonnell Rd.,1965,,
"Beaudry Tower
      *????",38 Bonham Rd.,1989,,
"Beaulieu
      ??",57/63 Chung Hom Kok Rd.,1964,,
"Beautiful Group Tower
      ???????","Ground Floor:
74/77 Connaught Rd. C. &
52 Gilman St.
Upper Floors:
74/77 Connaught Rd. C.",1972,,
"Beauty Court
      *??",10 Man Fuk Rd.,1965,,
"Beauty Court
      *??",82 Robinson Rd.,1992,,
"Beauty Mansion
      *????","Ground Floor:
69, 69A & 71A
Kimberley Rd.
Upper Floors:
71 Kimberley Rd.",1964,,
"Bedford 28
      ??28",28 Bedford Rd. ,2008,,
"Bedford Factory Mansion
      *??????",51 Bedford Rd.,1961,,
"Bedford Gardens
      *????",,1981,,
"      Hong Fook Court (Block J)
      ??? (J?)",153 Tin Hau Temple Rd.,,,
"      Hung Fook Court (Block B)
      ??? (B?)",169 Tin Hau Temple Rd.,,,
"      Ka Fook Court (Block L)
      ??? (L?)",151 Tin Hau Temple Rd.,,,
"      King Fook Court (Block A)
      ??? (A?)",173 Tin Hau Temple Rd.,,,
"      On Fook Court (Block E)
      ??? (E?)",155 Tin Hau Temple Rd.,,,
"      Pak Cheung Court (Block H)
      ??? (H?)",163 Tin Hau Temple Rd.,,,
"      Pak Hee Court (Block I)
      ??? (I?)",159 Tin Hau Temple Rd.,,,
"      Pak Kai Court (Block C)
      ??? (C?)",165 Tin Hau Temple Rd.,,,
"      Pak Lee Court (Block F)
      ??? (F?)",171 Tin Hau Temple Rd.,,,
"      Pak Sing Court (Block D)
      ??? (D?)",161 Tin Hau Temple Rd.,,,
"      Pak Tak Court (Block G)
      ??? (G?)",167 Tin Hau Temple Rd.,,,
"      Tak Fook Court (Block K)
      ??? (K?)",157 Tin Hau Temple Rd.,,,
"Bedford House
      *???",5 Bedford Rd.,1975,,
"Bedford Mansion
      *????","Ground Floor:
7, 11/19 Bedford Rd. &
5/5A Fir St.
Upper Floors:
9 Bedford Rd.",1964,,
"Bedford Tower
      ???","Ground Floor:
68 & 72 Bedford Rd.
Upper Floor:
70 Bedford Rd.",1990,,
"Bee Sing Mansion
      *????",93/103A Ma Tau Chung Rd.,1963,,
"Begonia Court
      *???",8/38 Begonia Rd.,1959,,
"Begonia Road Boys' Home
      ??????",62 Begonia Rd.,-,,
"Bel Air Heights
      ???","1 Lung Poon St.
(See Appendix VI)",1999,,
"      Blocks 1-4
      ?1?4?",(See Appendix VI),,,
"Bel Mount Garden
      *????",15 Arbuthnot Rd.,1993,,
"Bel Shine Centre
      ????",23 Tak Ku Ling Rd.,1994,,
"Bel Trade Commercial Building
      ??????",3 Burrows St.,1990,,
"Bel-Air House
      *???",15/19 Princess Margaret Rd.,1961,,
"Belaire Heights
      *???",112 Waterloo Rd.,1974,,
"Belcher Court
      *???",2 Sai Cheung St.,1985,,
"Belcher's Hill
      ???","Ground & Upper Floors:
9 Rock Hill St.
Lower Ground Floor:
42 & 44 Belcher’s St.",2011,,
"Belfran Court
      *???",11 Belfran Rd.,1976,,
"Belfran Mansion
      ??",15/15A Belfran Rd.,1966,,
Belfran Peak,9 Belfran Rd.,2017,,
"Belgian Bank Building
      ??????",721-725 Nathan Rd.,1977,,
Belgravia,57 South Bay Rd.,1989,,
"Belgravia Heights
      *???",27 Tai Tam Rd.,1978,,
"Belilios Public School
      ????????",51 Tin Hau Temple Rd.,-,,
"Bell House
      *????",525/543A Nathan Rd.,1969,,
"Bella Vista
      ???",3 Ying Fai Terrace,2000,,
"Belle House
      *????","Ground Floor:
23-29, 33-35 Whitfield Rd.
& 98-104 Hing Fat St.
Upper Floors:
31 Whitfield Rd.",1977,,
"Belle Tower
      ????",918 Cheung Sha Wan Rd.,1983,,
"Belleve Court
      *???",22 Sun Sing St.,1988,,
"Belleve Garden
      *???",53 Kung Lok Rd.,1982,,
"Belleview Place
      ???",93 Repulse Bay Rd.,1987,,
"Bellevue Court
      *???",41 Stubbs Rd.,1964,,
"Bellevue Heights
      *???",160-162 Boundary St.,1981,,
"Bellevue Heights
      *???",8 Tai Hang Drive,1973,,
"Bello Horizonte
      ??",35 Shouson Hill Rd.,1981,,
"Belmont Court
      *????",10 Kotewall Rd.,1967,,
"Belmont Heights
      *???",3 Marconi Rd.,1977,,
"Belvedere
      ???",41 Chung Hom Kok Rd.,1980,,
Belvedere Close,12 Shouson Hill Rd.,1969,,
"Belvedere Heights
      *???","361/367 Prince Edward
Rd. W.",1974,,
"Benefit Industrial Factory Building
      *???????",61 Wong Chuk Hang Rd.,1969,,
"Benson Tower
      ????",74 Hung To Rd.,1998,,
"Berkeley Building
      *????","Ground Floor:
81 Bulkeley St. &
2 Marsh St.
Upper Floors:
81 Bulkeley St.",1983,,
"Berkshire House
      ????",25 Westlands Rd.,1998,,
"Berwick Court
      *???",51 Berwick St.,1995,,
"Berwick Mansion
      *???",61 Berwick St.,2000,,
"Best View Court
      ????",66 & 68 MacDonnell Rd.,1956,,
"Best Western Grand Hotel
      ????",23 Austin Avenue,2012,,
"Best Western Hotel Causeway Bay
      ??????",38 Bowrington Rd.,2011,,
"Best Western Hotel Harbour View
      ??????",239 Queen’s Rd. W.,2012,,
"Best Western Plus Hotel Hong Kong
      ??????",308 Des Voeux Rd. W.,1996,,
"Best Western Plus Hotel Kowloon
      ?????????",73/75 Chatham Rd. S.,1988,,
"Best-O-Best Commercial Centre
      ???????",32/36 Ferry St.,1990,,
"Besthing Garden
      *????",35 Cheung Ning St.,1998,,
"Besthing Mansion
      *????",404-406 Jaffe Rd.,1985,,
"Bethanie
      ???",139 Pok Fu Lam Rd.,Pre 1945?,,
"Bethel Bible Seminary
      ??????",45/47 Grampian Rd.,Pre 1945?,,
"Beverley Commercial Centre
      *??????",87/105 Chatham Rd. S.,1982,,
"Beverley Heights
      *???",56 Cloud View Rd.,1979,,
